[00:00-00:01] 八十一难
[00:07-00:10] 三藏师徒四人经历八十难
[00:10-00:13] 到达了大雷音寺的门口
[00:13-00:14] 还差一难
[00:15-00:18] 他们就能修成正果
[00:30-00:32] 大师兄
[00:32-00:33] 八十一难差一难
[00:33-00:35] 这可怎么办呢
[00:35-00:37] 二师兄说得对啊
[00:37-00:38] 都怪我
[00:38-00:40] 前面干太猛了
[00:40-00:41] 现在没妖怪了
[00:41-00:43] 大师兄说得对啊
[00:43-00:45] 完成不了八十一难
[00:45-00:46] 许不到真经
[00:46-00:48] 那这趟不白来了吗
[00:48-00:49] 说得对啊
[00:49-00:51] 哪还能有妖怪呢
[00:51-00:52] 对啊
[00:53-00:55] 卡在这儿也不是一天两天了
[00:55-00:58] 能想的办法咱都想过了
[00:59-01:00] 总不能到最后
[01:00-01:03] 从咱三里选一个人出来当妖怪吧
[01:08-01:09] 你俩怎么不笑啊
[01:09-01:11] 多好笑啊
[01:14-01:16] 我又是拉流沙盒了
[01:17-01:18] 沙师弟
[01:18-01:19] 没记错的话
[01:19-01:22] 你以前是妖怪吧
[01:22-01:22] 不是
[01:22-01:24] 咱三谁以前不是妖怪
[01:24-01:27] 你俩现在也是妖怪啊
[01:27-01:28] 没记错的话
[01:28-01:30] 你以前好像吃过人吧
[01:30-01:30] 不是
[01:30-01:32] 咱仨谁以前没吃过人
[01:32-01:33] 我没吃过
[01:33-01:34] 我只吃桃
[01:36-01:39] 但我现在饮食习惯很自律的
[01:39-01:40] 自律
[01:40-01:42] 给我自由
[01:45-01:46] 太好了
[01:46-01:47] 一会儿师父来
[01:47-01:48] 你就把他抓住
[01:48-01:48] 我们把你降服
[01:48-01:49] 八十一难解决了
[01:49-01:51] 咱们就能取到真经了
[01:52-01:54] 那你们都功德圆满了
[01:54-01:55] 我能得到什么呀
[01:55-01:56] 你能得到
[01:56-01:57] 老孙一棒
[01:57-01:58] 我唇矮揍
[01:58-01:59] 不干
[01:59-02:00] 沙师弟
[02:00-02:01] 我你还不了解吗
[02:01-02:03] 我打人一点都不疼
[02:03-02:03] 就是
[02:03-02:04] 不信你看
[02:06-02:07] 疼吗
[02:08-02:09] 不疼
[02:09-02:09] 你看
[02:11-02:12] 重点不是疼不疼
[02:12-02:13] 重点是
[02:13-02:15] 那我不白来了吗
[02:15-02:16] 啊
[02:16-02:17] 那我不
[02:17-02:18] 白矮了吗
[02:19-02:21] 沙师弟怎么能白来呢
[02:21-02:22] 你想想
[02:22-02:24] 之前咱们遇见过的
[02:24-02:25] 青狮 白象 还有老鹿
[02:26-02:28] 都好好在天上当坐骑啊
[02:29-02:30] 那我也经历了八十难
[02:30-02:32] 凭啥最后我是个坐骑啊
[02:32-02:34] 因为你人善呢
[02:34-02:36] 人善被人骑呗
[02:37-02:37] 有道理
[02:37-02:38] 对对对
[02:38-02:38] 不是
[02:38-02:39] 一会儿师父来
[02:39-02:39] 就说他是
[02:39-02:41] 如果非要从咱们仨里
[02:41-02:42] 选一个人当妖怪
[02:42-02:43] 这个人为什么不能是
[02:43-02:44] 大师兄
[02:45-02:46] 当然不能是大师兄
[02:47-02:49] 那为什么不能是二师兄
[02:51-02:51] 你站起来干啥
[02:54-02:54] 我问你呢
[02:54-02:55] 为啥不能是你
[02:56-02:57] 你喊啥
[02:58-03:00] 那不因为你贡献最少吗
[03:00-03:01] 你俩做啥贡献了
[03:01-03:03] 我的妈呀
[03:03-03:04] 前边八十难
[03:04-03:05] 狮子精
[03:05-03:06] 老虎精
[03:06-03:07] 豹子精
[03:07-03:08] 都是你降服的
[03:08-03:09] 都是我叫来的
[03:09-03:10] 叫来的
[03:11-03:11] 六耳迷航
[03:12-03:14] 我亲弟弟啊
[03:16-03:18] 六耳
[03:18-03:21] 大师兄你能还一个弟弟啊
[03:21-03:22] 那排四洞
[03:22-03:23] 七个蜘蛛精
[03:23-03:25] 全是我姥姨啊
[03:26-03:30] 我那七个老姨算疑难啊
[03:35-03:36] 你呢
[03:37-03:39] 我没亲戚啊
[03:39-03:40] 那你有啥
[03:40-03:42] 你连自己专属的BGM也没有啊
[03:42-03:44] 不是这东西你俩有啊
[03:44-03:45] 当
[03:45-03:46] 当
[03:46-03:47] 当郎当当
[03:47-03:49] 当郎郎郎当
[03:49-03:50] 当了谁的
[03:50-03:51] 二师兄的
[03:51-03:53] 刚亲住了几个妖
[03:53-03:54] 大师兄的
[03:54-03:55] 当当当当当
[03:55-03:56] 大师兄的
[03:56-03:57] 当当当当当
[03:57-03:57] 大师兄
[03:57-03:59] 大师兄BGM真多呀
[04:01-04:02] 你呢
[04:03-04:04] 我也有
[04:05-04:06] 是他
[04:06-04:07] 就是他
[04:07-04:09] 我们的朋友
[04:09-04:10] 小哪沙僧
[04:15-04:16] 这是哪的
[04:16-04:19] 悄悄问沙僧
[04:19-04:20] 那是师父的
[04:21-04:25] 流沙和江河
[04:26-04:28] 那是刘大哥
[04:28-04:29] 不公平
[04:30-04:31] 不公平
[04:31-04:33] 那咱仨斗斗法
[04:33-04:34] 输的那个当妖怪
[04:34-04:36] 好
[04:36-04:37] 比就比
[04:37-04:38] 我比不过大师兄
[04:38-04:39] 我比不过你
[04:39-04:40] 比什么我先来
[04:40-04:41] 比模仿动物
[04:41-04:42] 来
[04:42-04:43] 开始
[04:46-04:48] 我为啥要跟俩动物比模仿动物
[04:49-04:51] 那我这还用模仿吗
[04:51-04:52] 让他心服口服
[04:54-04:55] 你是猪
[04:55-04:56] 你模仿什么猴了
[04:58-04:58] 就是
[04:59-05:00] 还是我来吧
[05:00-05:01] 你就是猴
[05:03-05:05] 这模仿了反而不像猴了
[05:07-05:08] 谁说的
[05:08-05:09] 我们猴子高兴都是这样的
[05:10-05:11] 你肯拉倒吧
[05:11-05:12] 我不服
[05:12-05:13] 翻去了
[05:13-05:15] 你这猴子
[05:15-05:16] 你这猴子
[05:16-05:17] 你这猴子
[05:17-05:18] 翻去了
[05:18-05:20] 你凭什么不服
[05:20-05:21] 你连自己名字都没有
[05:21-05:23] 你不当妖怪谁当妖怪
[05:23-05:25] 我有名字好吗
[05:25-05:26] 你叫什么
[05:26-05:28] 我叫沙悟静
[05:28-05:29] 那是法号
[05:29-05:30] 沙和尚
[05:30-05:31] 那是外号
[05:32-05:32] 沙僧
[05:32-05:33] 僧就是和尚
[05:36-05:38] 那你俩有名字吗
[05:38-05:39] 我
[05:39-05:40] 孙行者
[05:40-05:41] 我
[05:41-05:42] 朱刚烈
[05:42-05:43] 我
[05:43-05:44] 沙宝亮
[05:47-05:48] 我
[05:48-05:49] 完了吗
[05:49-05:50] 我谁呀
[05:50-05:51] 我连个名都没有
[05:51-05:52] 你是谁
[05:52-05:52] 你是谁
[05:52-05:54] 乡亲们
[05:54-05:55] 别送了
[05:55-05:56] 等我们上去了
[05:56-05:57] 给你们托梦
[05:57-05:58] 常联系
[05:58-05:59] 我问师父
[05:59-06:01] 这儿的乡亲们可太热情了
[06:01-06:01] 你看
[06:01-06:03] 这是他们写的愿望清单
[06:03-06:04] 我答应他们了
[06:04-06:06] 等咱们修成正果了之后
[06:06-06:07] 全给他们实现了
[06:07-06:08] 师父
[06:08-06:09] 你知道我是谁吗
[06:10-06:11] 他现在说话这么嚣张吗
[06:11-06:12] 他现在
[06:14-06:15] 师父
[06:15-06:15] 师父
[06:15-06:16] 师父
[06:17-06:17] 师父
[06:17-06:18] 跟您说实话吧
[06:19-06:20] 沙师弟是妖怪
[06:20-06:21] 我是你爹
[06:23-06:24] 师父
[06:25-06:26] 他俩为了凑八十一难
[06:26-06:28] 让我当妖怪抓你
[06:28-06:29] 胡闹
[06:29-06:31] 这是你们师弟啊
[06:31-06:32] 我说过多少次了
[06:32-06:34] 我们绝对不要内候
[06:34-06:35] 绝对不要
[06:35-06:36] 没妖怪了呀 师父
[06:36-06:37] 怎么没妖怪
[06:37-06:39] 刚才那些乡亲们还说呢
[06:39-06:40] 快看呐
[06:40-06:41] 这边撒妖怪
[06:41-06:42] 对不起
[06:44-06:46] 我觉得咱们也别着急
[06:46-06:47] 咱们可以等这些小动物
[06:47-06:48] 小植物
[06:48-06:49] 小石头
[06:49-06:50] 咱们等他们修炼成精
[06:50-06:51] 不就完了吗
[06:51-06:52] 你们修炼成精
[06:52-06:53] 都用了多长时间
[06:53-06:54] 我五百年
[06:54-06:56] 我一千二百年
[06:56-06:56] 我三万年
[06:56-06:57] 我今年三十七
[07:00-07:01] 三万减三十七
[07:01-07:02] 我还得活
[07:02-07:03] 哎呀
[07:03-07:04] 我觉得八十一难
[07:04-07:05] 也未必是死规定
[07:05-07:06] 是死规定
[07:06-07:07] 是死规定
[07:07-07:08] 是死规定
[07:08-07:09] 是死规定
[07:09-07:10] 是死规定
[07:10-07:11] 是死规定
[07:11-07:12] 他还能让我一辈子
[07:12-07:13] 取不到真经吗
[07:13-07:14] 他们能
[07:14-07:15] 我替你说话你听不出来呀
[07:16-07:17] 师父
[07:17-07:19] 这对你来说才八十难
