[00:00-00:01] 技能五子棋
[00:13-00:15] 终于到了
[00:15-00:17] 技能五子棋学校
[00:17-00:18] 有人吗
[00:18-00:20] 有人吗
[00:20-00:21] 没人啊
[00:21-00:22] 有人
[00:22-00:23] 吓我一跳
[00:23-00:24] 你好 您是
[00:24-00:25] 自我介绍一下
[00:25-00:26] 我叫张诚
[00:26-00:28] 是五子棋大赛的冠军
[00:28-00:30] 同时也是王教练的学生
[00:30-00:31] 王教练说了
[00:31-00:33] 要想找到五子棋的真谛
[00:33-00:34] 必须得打败你们
[00:34-00:36] 所以我是来踢馆的
[00:36-00:36] 很好
[00:36-00:37] 你是老王的学生
[00:37-00:38] 当然
[00:38-00:40] 我来介绍一下
[00:40-00:41] 这位
[00:41-00:43] 是我们技能五子棋学校的学生
[00:43-00:44] 我叫子棋
[00:44-00:45] 好名字
[00:45-00:46] 天生的棋将
[00:46-00:47] 这位
[00:47-00:49] 是我们技能五子棋学校的校长
[00:49-00:51] 在下技能五
[00:51-00:53] 你叫技能五
[00:53-00:55] 子棋
[00:55-00:56] 你不要邓子棋
[00:56-00:57] 我没有邓子棋
[00:59-01:00] 是这样
[01:00-01:02] 技能五老师 我问一下
[01:02-01:04] 什么是技能五子棋呢
[01:04-01:04] 班长
[01:04-01:06] 别喊了 别喊了
[01:06-01:07] 传统的五子棋
[01:07-01:09] 就是把五个子连成一条线
[01:09-01:10] 这样就赢了
[01:10-01:11] 而我们技能五子棋呢
[01:11-01:13] 就是在传统的五子棋当中
[01:13-01:14] 加入了技能
[01:16-01:18] 这不就废话吗
[01:18-01:19] 多说无益
[01:19-01:19] 不如这样
[01:19-01:21] 我来随机挑选一位得意门生
[01:21-01:23] 给你演示一番
[01:24-01:25] 这么挺吗
[01:25-01:26] 就你了
[01:26-01:27] 真的是我马老师
[01:27-01:28] 没别人了
[01:28-01:29] 当然是你了 子棋
[01:30-01:30] 来
[01:31-01:32] 请
[01:35-01:37] 老师 你好像快输了
[01:39-01:40] 那么接下来
[01:40-01:42] 我要给你展示我的第一个技能了
[01:42-01:43] 飞纱走石
[01:43-01:45] 飞纱走石
[01:45-01:45] 王教练说过
[01:45-01:47] 每一个棋手都有属于自己的一个
[01:47-01:48] 直接扔出去了吗
[01:48-01:49] 问得好
[01:49-01:50] 没问的
[01:50-01:51] 飞纱走石共鸣自益
[01:51-01:54] 就是把对手的机子直接扔进
[01:54-01:54] 石上海
[01:54-01:56] 哪有石上海啊
[01:56-01:57] 没有石上海
[01:59-02:01] 飞纱走石
[02:01-02:02] 这也
[02:02-02:04] 他把你的棋子丢掉了
[02:04-02:05] 太厉害了吧
[02:07-02:07] 两个
[02:07-02:08] 精神病
[02:13-02:14] 来
[02:14-02:15] 继续
[02:20-02:21] 老师 我问一下
[02:21-02:22] 是每一刻都要撇吗
[02:23-02:23] 老师
[02:23-02:24] 既然这样
[02:24-02:25] 别怪我不客气了
[02:26-02:27] 好刻板的惊讶
[02:29-02:30] 技能
[02:30-02:32] 性如止水
[02:34-02:35] 这啥意思啊
[02:35-02:36] 问得好
[02:36-02:38] 性如止水共鸣自益
[02:38-02:39] 就是凝结时间
[02:39-02:40] 冻结空气
[02:40-02:43] 你看老师已经完全动不了了
[02:43-02:44] 所以你给你老师速冻了
[02:44-02:45] 厉害吧
[02:45-02:47] 那我问一下老师多久能活
[02:47-02:47] 一个小时
[02:47-02:48] 我先走了
[02:48-02:49] 等一下
[02:49-02:50] 老师你给我盯住了
[02:50-02:50] 我知道
[02:50-02:51] 是这样
[02:51-02:52] 我有一招
[02:52-02:54] 可以很好的克制净如止水
[02:54-02:55] 你给我看好了
[02:56-02:58] 力拔山西
[02:59-03:00] 各位师傅玩了吗
[03:00-03:01] 问得好
[03:01-03:01] 力拔山西
[03:01-03:03] 共鸣自益就是摔坏棋盘
[03:03-03:04] 直接获胜
[03:06-03:08] 力拔山西
[03:08-03:10] 这也太耍赖了
[03:10-03:12] 太厉害了吧
[03:12-03:13] 会会会
[03:13-03:13] 好
[03:13-03:15] 你老师没你都开不了这学校
[03:16-03:17] 孩子
[03:17-03:20] 你现在明白吴子棋的真谛了吗
[03:20-03:21] 完全不明白
[03:21-03:22] 你们到底认不认识王教练啊
[03:22-03:24] 真谛怎么可能找不在你手里啊
[03:24-03:27] 你来之前王教练是不是说过一句话
[03:27-03:28] 外练筋骨皮
[03:28-03:30] 内练吴子棋
[03:32-03:34] 是说过这样的胡言乱语
[03:34-03:35] 可是我不知道什么意思啊
[03:35-03:37] 你不明白就对了
[03:37-03:38] 你跟我们下一把
[03:38-03:40] 下一把你就全都明白了
[03:40-03:43] 可是我不懂你们这什么技能啊什么的
[03:44-03:45] 真别喊了老师
[03:45-03:48] 真正的技能就在你的心里
[03:51-03:53] 心在这边
[03:54-03:54] 什么
[03:54-03:56] 老师下还是不下呀
[03:56-03:57] 去哪啊
[03:57-03:58] 走了吗
[03:59-04:00] 张诚
[04:00-04:02] 想挑战我师父
[04:02-04:04] 先从我的尸体上跨过去
[04:04-04:05] 好啊
[04:05-04:06] 我就给你下一把
[04:06-04:07] 请
[04:10-04:12] 你要输了
[04:13-04:14] 飞沙走石
[04:15-04:15] 什么
[04:15-04:16] 那我也
[04:17-04:18] 飞二者石
[04:21-04:23] 张诚
[04:23-04:26] 你管这个叫飞沙走石
[04:26-04:28] 你管这个叫下吴子棋
[04:30-04:31] 看好了
[04:31-04:35] 这个才叫真正的飞沙走石
[04:37-04:39] 这叫棒球
[04:40-04:41] 压力
[04:41-04:43] 什么压力
[04:43-04:44] 说啥呢
[04:44-04:44] 说啥呢
[04:47-04:48] 好啊
[04:48-04:50] 我用你们的方式我也能赢你
[04:50-04:52] 那我就没开二度
[04:52-04:53] 飞沙走
[04:54-04:55] 这是什么技能
[04:55-04:57] 我这叫擒拿
[04:58-04:59] 痛死了
[04:59-05:01] 我没使劲
[05:10-05:12] 擒拿
[05:12-05:14] 擒擒又拿拿
[05:15-05:16] 老师别说怪话了好不好
