[00:00-00:02] 谢谢 谢谢
[00:02-00:04] 很多朋友经常会问我说
[00:04-00:06] 自身你怎么研究生毕业之后
[00:06-00:08] 就这么坚决地就选择了脱口秀呀
[00:08-00:10] 我说就是因为当时没找到工作呀
[00:10-00:12] 但凡找到工作都动摇了
[00:12-00:14] 因为直接选择脱口秀这件事
[00:14-00:16] 对一个山东人来说不简单
[00:16-00:18] 尤其是我爸又是那种特别传统的山东人
[00:18-00:20] 我上完春晚回家
[00:20-00:22] 我爸都特别不开心
[00:22-00:24] 说你们那个圆桌
[00:24-00:26] 你为什么坐在这儿
[00:26-00:28] 我爸说你为什么坐在这儿
[00:28-00:30] 你们那个圆桌
[00:30-00:32] 你为什么坐在了副培的位置上
[00:36-00:38] 我爸就特别希望
[00:38-00:40] 我能考公务员
[00:40-00:42] 过那种很稳定的生活
[00:42-00:44] 我都感觉我爸都已经不理性了
[00:44-00:46] 就有一次上大学的时候
[00:46-00:48] 我跟我爸在家里看新闻
[00:48-00:50] 就说有一个贪官因贪污2.5亿
[00:50-00:52] 被判入狱30年
[00:52-00:54] 我爸看完特别激动
[00:54-00:56] 他说你看这什么工作
[00:56-00:58] 30年能挣2.5亿
[01:00-01:02] 我说爸
[01:02-01:04] 你是这么理解这句话的什么
[01:04-01:06] 那你是不是认为
[01:06-01:08] 他这30年过得很稳定
[01:08-01:10] 这怎么稳定
[01:10-01:12] 险中求呀
[01:12-01:14] 我说爸他是入狱
[01:14-01:16] 不是入职
[01:16-01:18] 他的后半生就完了呀
[01:18-01:20] 然后我就选择了这种不稳定的生活
[01:20-01:22] 但是我也没想到他这么不稳定
[01:22-01:24] 他不稳定到
[01:24-01:26] 有一段时间我们公司
[01:26-01:28] 只有我一个人在挣钱呀
[01:40-01:42] 就打工打出一种创业的感觉
[01:44-01:46] 就跟挣钱好几百口人等着我吃饭呢
[01:46-01:48] 就那段时间脑子经常会想起
[01:48-01:50] 老板经常说的那句话
[01:50-01:52] 就你不要想着公司能为你做什么
[01:52-01:54] 你要多想想你能为公司做什么
[01:54-01:56] 但我也没想到是要做全部呀
[02:00-02:02] 就这老板还在那给我画饼了
[02:02-02:04] 说志生你就好好干吧
[02:04-02:06] 你要相信公司在年终奖上
[02:06-02:08] 会给你有所体现呢
[02:08-02:10] 我都急了
[02:10-02:12] 我说那也是我自己的问题
[02:12-02:14] 我说你自己的问题
[02:14-02:16] 我都急了我说那也是我自己挣的呀
[02:20-02:22] 这怎么着急我的奶给我喝
[02:36-02:38] 我都坐下来了
[02:38-02:40] 你对公司的付出越多你知道吗
[02:44-02:46] 你别着急后面还有更炸弹了
[02:54-02:56] 王涛王涛
[03:00-03:02] 真的就是你对公司
[03:02-03:04] 付出越多你就感觉
[03:04-03:06] 我那段时间就没那么爱过这个公司
[03:06-03:08] 以前我还会从公司涂水回家
[03:10-03:12] 我以前就不爱公司
[03:12-03:14] 我那段时间就涂水回家
[03:14-03:16] 就那段时间也不涂了
[03:16-03:18] 还会监督不让别人涂
[03:18-03:20] 你别说涂水了
[03:20-03:22] 老板喝水我都心疼
[03:22-03:24] 我说你这干啥了呀就这么渴
[03:26-03:28] 是因为公司没有流水把你渴成这样的吗
[03:36-03:38] 那段时间你在公司的地位也不一样了
[03:38-03:40] 我那段时间在公司就没拍过马屁
[03:42-03:44] 因为我拍啥都像在讽刺老板
[03:44-03:46] 我说老板呀咱们公司现在这样
[03:46-03:48] 可都是因为您流道的好呀
[03:52-03:54] 老板那段时间经常会送我一些
[03:54-03:56] 我根本用不到的小礼物
[03:56-03:58] 真的我看着都心疼
[03:58-04:00] 我就说你就别乱花钱了
[04:00-04:02] 我挣点钱也不容易
[04:04-04:06] 我能理解老板那么紧张
[04:06-04:08] 因为那段时间正好赶上了董宇辉和于敏弘的事
[04:08-04:10] 刚刚他们跟我说董宇辉的时候
[04:10-04:12] 那段时候说是至上
[04:12-04:14] 这个公司钱都是他赚的
[04:14-04:16] 他还没赚到什么钱
[04:16-04:18] 干得还特别起劲
