[00:00-00:02] 开学第一天
[00:19-00:20] 来了
[00:20-00:22] 我走错了吗
[00:22-00:23] 快回来
[00:23-00:24] 没走错
[00:24-00:27] 这里就是高三八班
[00:27-00:28] 你好
[00:28-00:29] 你好
[00:29-00:31] 我是这个班新转来的班主任
[00:31-00:32] 您是
[00:32-00:33] 我自我介绍一下
[00:33-00:34] 好嘞
[00:36-00:37] 我呢
[00:39-00:40] 姓杨
[00:40-00:42] 叫杨雨光
[00:42-00:43] 你好
[00:43-00:45] 是咱们这个班的班长
[00:50-00:51] 班长
[00:51-00:52] 您
[00:53-00:54] 您是学生
[00:55-00:56] 当然了
[00:56-00:57] 李老师
[00:57-00:58] 太感谢你
[00:58-01:00] 能在我三十六岁这一年
[01:00-01:01] 等会儿
[01:02-01:03] 您多大了
[01:03-01:04] 三十六
[01:04-01:05] 不像吧
[01:08-01:09] 你三十六了
[01:09-01:11] 怎么还在读高三呢
[01:12-01:13] 我去哪啊
[01:14-01:15] 是这样啊
[01:16-01:17] 我呢
[01:17-01:18] 一直有一个
[01:18-01:19] 什么
[01:19-01:20] 什么
[01:20-01:21] 什么
[01:24-01:25] 老师
[01:25-01:26] 老师梦
[01:26-01:27] 你跟谁说话呢
[01:27-01:29] 回答得非常好
[01:29-01:30] 这不一问俱吗
[01:30-01:31] 我的梦想
[01:32-01:35] 就是考进理想的师范大学
[01:35-01:38] 现在正在以每年二十分的成绩
[01:38-01:40] 稳步提升
[01:40-01:41] 二十年了
[01:41-01:43] 我终于可以考到惊人的
[01:43-01:45] 四百二十分了
[01:45-01:47] 大哥这您骄傲什么呀
[01:47-01:50] 我算下来您当年二十分起步啊
[01:50-01:51] 李老师
[01:51-01:52] 往事
[01:52-01:53] 不用再提
[01:53-01:54] 行
[01:54-01:55] 那老师就不提了
[01:55-01:56] 是
[01:56-01:57] 不管怎么样
[01:57-01:58] 只要你听我的
[01:58-01:59] 我有信心今年
[01:59-02:01] 就让你考上理想的大学
[02:01-02:02] 那我就谢谢李老师
[02:02-02:03] 没事
[02:03-02:04] 这都是老师该做的
[02:05-02:06] 回到位置上去吧
