[00:00-00:01] 刚刚喜人奇妙夜
[00:01-00:02] 下一个作品是
[00:03-00:05] 游泳有谋
[00:07-00:09] 公元前二二一年
[00:09-00:11] 秦始皇统一六国
[00:11-00:14] 为制作陪葬用的冰马泳
[00:14-00:16] 咸阳城的工匠们
[00:16-00:19] 正在紧张的忙碌着
[00:22-00:23] 秦阳李
[00:23-00:24] 还吃面呢
[00:24-00:27] 让你造的那六个冰马泳造好没
[00:27-00:28] 放心
[00:28-00:29] 一个都不多
[00:29-00:30] 一个都不少
[00:30-00:31] 六个
[00:31-00:32] 行 我告诉你
[00:32-00:34] 一会可就要来检查了
[00:34-00:35] 千万不能出岔子
[00:35-00:36] 放心吧
[00:36-00:37] 行 我去那边检查一下
[00:37-00:38] 你慢走
[00:38-00:38] 你慢点
[00:46-00:50] 一 二 三 四
[00:50-00:51] 五 六 七
[00:51-00:54] 这怎么还多一个呢
[00:54-00:57] 一 二 三 四
[00:57-00:58] 五
[00:59-01:00] 饿了
[01:00-01:02] 活了
[01:02-01:03] 别喊
[01:03-01:05] 我 雨光
[01:08-01:09] 杨雨光
[01:09-01:12] 你干什么来的
[01:12-01:13] 我姐让我来的
[01:13-01:14] 你姐让你来的
[01:14-01:15] 她多大的管儿呢
[01:15-01:17] 她算干什么的
[01:17-01:19] 你这么说就不太对了吧
[01:19-01:20] 姐夫
[01:21-01:23] 那李寒城这事干什么
[01:23-01:25] 我从小就想当兵
[01:25-01:26] 你又不是不知道
[01:27-01:29] 你叫当兵你去冰营啊
[01:29-01:29] 我去了
[01:29-01:31] 那个周兵他跟我说
[01:31-01:33] 就你我寡宋你还想当兵
[01:33-01:35] 你赶紧回去当冰马泳去
[01:37-01:38] 我走来了
[01:41-01:44] 你是不是脑子有问题
[01:44-01:46] 好来话你听不出来
[01:46-01:46] 姐夫
[01:46-01:48] 冰马泳也是冰
[01:48-01:50] 而且我听说
[01:50-01:51] 蒙义大将军
[01:51-01:53] 要亲自检查你这批泳
[01:53-01:53] 你让我见见他
[01:53-01:54] 他是我偶像
[01:54-01:56] 你还知道人家蒙将军要来
[01:57-01:59] 你说你穿成这样
[01:59-01:59] 人家万一
[01:59-02:01] 以为你是刺客该怎么办
[02:01-02:02] 你说你一天天
[02:02-02:03] 就给我添乱了你
[02:06-02:07] 还有你知不知道
[02:07-02:09] 这冰马泳是要烧的
[02:09-02:11] 我这一身抹了一身黄泥
[02:11-02:13] 烧一下肯定没什么问题吧
[02:13-02:15] 你听说过叫花鸡吗
[02:17-02:18] 你这有啊
[02:18-02:19] 你赶紧给我滚
[02:19-02:20] 别给我添乱
[02:20-02:21] 不是 姐夫
[02:22-02:23] 你干什么
[02:23-02:25] 这时候是要我添乱了
[02:25-02:27] 我把你团死往前的时候
[02:27-02:28] 你都不想
[02:28-02:29] 小小
[02:30-02:31] 姐夫
[02:31-02:32] 我这个人
[02:32-02:33] 虽然说大大咧咧的
[02:33-02:36] 但是我从来不给别人添麻烦
[02:38-02:40] 给你添麻烦呢
[02:40-02:41] 老子
[02:41-02:42] 你厉害
[02:43-02:43] 不是
