[00:00-00:01] 哪里 prze行得来啊
[00:01-00:03] 就看各位哪里来啊
[00:04-00:05] 真 Extreme
[00:07-00:10] 永远表达
[00:11-00:19] 永远表达
[00:21-00:22] peoples
[00:25-00:26] 就依我的daughter
[00:27-00:29] 我给 atom表达
[00:29-00:31] Sent want…
[00:31-00:35] 輝 Purple
[00:56-00:57] 大哥 大哥 大哥
[00:57-00:58] 大哥你饶了我吗大哥
[00:58-00:59] 你 你相信我
[00:59-01:01] 我真的是每天在那儿卖菜的
[01:01-01:03] 我真不是故意看到你们交易的
[01:03-01:04] 你放过我吧
[01:04-01:05] 我该回家死了
[01:10-01:11] 别跟我说
[01:12-01:13] 我也是替人办事
[01:16-01:17] 但作为一个杀手
[01:17-01:18] 我对你不错吧
[01:20-01:22] 你说死前想唱首歌
[01:22-01:23] 我满足你了吧
[01:24-01:25] 你唱的首什么
[01:26-01:26] 这
[01:27-01:28] 情歌王
[01:28-01:29] 十五分钟
[01:31-01:33] 唱了十五分钟
[01:33-01:34] 大哥 对不起
[01:34-01:36] 足足让我等了十五分钟
[01:36-01:37] 大哥 我错了
[01:37-01:39] 一个转音我都没等到
[01:45-01:46] 这转音
[01:47-01:49] 唱《阿安的秘笔》不需要转音吗
[01:51-01:52] 就为这事
[01:52-01:53] 这事小吗
[01:53-01:53] 不小
[01:53-01:54] 最后就再来一遍
[01:54-01:55] 再来一遍
[01:55-01:57] 永远的爱
[01:57-01:59] 大哥 我转不出来
[01:59-02:03] 永远的爱
[02:03-02:03] 放在鼻腔
[02:03-02:04] 难吗
[02:07-02:07] 大哥
[02:08-02:09] 我是唱民谣的
[02:09-02:10] 不会转音
[02:11-02:12] 站起来
[02:12-02:13] 站起来
[02:13-02:13] 站起来
[02:14-02:15] 我教你
[02:18-02:19] 看我的手
[02:20-02:24] 永远的爱
[02:25-02:32] 永远的爱
[02:46-02:47] 怎么样
[02:47-02:48] 通了
[02:50-02:52] 大哥懂音乐
[02:53-02:53] 热爱
[02:55-02:56] 小弟有句话
[02:56-02:58] 不知当讲不当讲啊
[02:58-02:59] 我觉得以你这个专业
[02:59-03:00] 谁准你应该去当歌手
[03:00-03:02] 你当什么杀手啊你
[03:05-03:06] 怎么了
[03:07-03:08] 十年前
[03:09-03:10] 你卖唱的地下通道
[03:11-03:12] 是我在那儿唱
[03:13-03:14] 但唱歌不挣钱吗
[03:15-03:16] 这不就当杀手
[03:16-03:17] 没听说过
[03:17-03:18] 聊天呢
[03:26-03:26] 感性了
[03:26-03:28] 大哥 冷静冷静
[03:28-03:29] 捧根呢
[03:30-03:32] 大哥 我还有首歌想让你给我调一下
[03:32-03:33] 花言时间呢
[03:33-03:34] 我还没听过你唱呢
[03:34-03:35] 没机会了
[03:35-03:36] 大哥 我咱俩合唱一首歌
[03:36-03:37] 下辈子再唱吧
[04:26-04:27] 大哥
[04:28-04:29] 咱俩整一组合吧
[04:33-04:34] 大哥
[04:34-04:36] 你看咱俩刚才那声线
[04:36-04:37] 那小台风
[04:37-04:39] 咱俩太有默契了
[04:40-04:41] 那个
[04:41-04:42] 因为我刚才就
[04:44-04:46] 我也是这么想的
[04:47-04:49] 但是因为我就
[04:49-04:50] 哎
[04:50-04:51] 你要这么说我就不乐意了
[04:51-04:53] 每个人都有追求音乐的权利
[04:53-04:54] 意外
[04:54-04:55] 天籁
[05:01-05:02] 大哥
[05:04-05:05] 你还记得你的初心吗
[05:07-05:09] 我们应该回到那个地下通道
[05:10-05:12] 拿起我们心爱的小吉他
[05:13-05:15] 中国乐坛需要我们这样的歌手啊
