[00:00-00:01] 好 好 好
[00:01-00:03] 下一个节目是
[00:03-00:05] 史上第一大结案
[00:05-00:07] 好 好 好
[00:16-00:18] 都给我爬好了
[00:18-00:20] 谁要是敢动
[00:20-00:22] 可千万别怪我不客气
[00:25-00:27] 你是银行经理他们对吧
[00:27-00:28] 对
[00:28-00:29] 我调查过了
[00:29-00:31] 金库里应该有二百万
[00:31-00:32] 拿来给我
[00:32-00:33] 尊敬的劫匪先生
[00:33-00:35] 请您不要冲动
[00:35-00:37] 请您千万不要伤害我
[00:37-00:39] 这你放心
[00:39-00:42] 我和洛杉矶其他的劫匪不同
[00:42-00:43] 我只要钱
[00:43-00:44] 好 好 好
[00:44-00:45] 动作快 好
[00:45-00:47] 别动
[00:47-00:49] 别动
[00:53-00:54] 拿来
[00:54-00:55] 劫匪先生
[00:56-00:57] 钱帮您装好了
[00:57-00:59] 一共是一百九十九万
[00:59-01:00] 零三千
[01:01-01:03] 这怎么有零有整的呢
[01:03-01:05] 金库里不是二百万吗
[01:05-01:06] 金库里是二百万
[01:06-01:07] 但是有七千
[01:07-01:08] 是我给这银行存的
[01:08-01:09] 我扯出来了
[01:09-01:11] 那你存回来
[01:11-01:12] 我家着急用钱
[01:12-01:14] 你存回来
[01:15-01:17] 正好两百万
[01:18-01:19] 你干得不错 汤
[01:20-01:21] 从今天起
[01:21-01:22] 我们是朋友了
[01:22-01:23] 好的
[01:23-01:24] 劫匪先生
[01:24-01:26] 别叫我劫匪先生了
[01:26-01:27] 叫我Jack
[01:28-01:29] Jack
[01:30-01:31] Jack
[01:31-01:33] 你看起来不太像差钱的人
[01:34-01:36] 你很有眼光 老弟
[01:36-01:39] 想当年我也是投资界的王者
[01:39-01:41] 一匹华尔街之狼
[01:42-01:43] 大哥你还懂投资
[01:43-01:44] 当然了
[01:45-01:46] 要不然能来抢银行吗
[01:48-01:49] 这两年也不知道怎么了
[01:49-01:51] 真邪了啊
[01:51-01:52] 我是投五票五票跌
[01:52-01:54] 投黄金黄金跌
[01:54-01:55] 投比特比特也跌
[01:55-01:57] 我是投啥啥跌了
[01:57-01:59] 难怪您身上跌味这么重
[02:02-02:03] 那我回去洗洗
[02:04-02:05] 杰克先生
[02:06-02:07] Jack
[02:07-02:08] 既然我们是朋友了
[02:08-02:09] 我想问您
[02:09-02:11] 来银行光抢钱就够了吗
[02:11-02:12] 啥意思
[02:13-02:15] 金库我不都搬空了吗
[02:15-02:16] 金库你是搬空了
[02:16-02:18] 还有我们办公用的电脑啊
[02:19-02:20] 这个朋友他
[02:20-02:21] 是这样
[02:21-02:22] 杰克
[02:22-02:23] 你来抢一次银行
[02:23-02:24] 不容易
[02:24-02:26] 这样你把我办公用的电脑拿走
[02:26-02:27] 是
[02:27-02:28] 杰克
[02:28-02:29] 这个东西我拿着
[02:29-02:30] 杰克我给你的啊
[02:30-02:31] 不是
[02:31-02:32] 我给孩子的
[02:32-02:33] 你看我姐妹
[02:33-02:34] 我跟你说
[02:34-02:35] 你再这样我真要生气了
[02:35-02:36] 不对
[02:36-02:37] 我生气了
[02:40-02:41] 不对啊
[02:42-02:44] 你这电脑里是不是装了什么
[02:44-02:45] 能够追踪我的软件啊
[02:46-02:47] 没有
[02:47-02:48] Baby的Tom经理
[02:48-02:49] 杰匪先生
[02:49-02:50] 你误会了
[02:50-02:52] 这就是一台普通的办公电脑
[02:52-02:54] 是公司配给我的
[02:54-02:55] 已经十年了
[02:55-02:56] 特别老旧
[02:56-02:57] 我想让公司换
[02:57-02:58] 公司也不给换
[02:58-02:59] 你给我啊
[02:59-03:01] 我这不是想着
[03:01-03:02] 既然您来抢银行嘛
[03:02-03:04] 你就把这电脑抢走
[03:04-03:05] 我再让公司给我换台新的
[03:05-03:07] 我欠你的我
[03:07-03:08] 杰匪大哥
[03:08-03:09] 我知道
[03:09-03:10] 在这种情况下
[03:10-03:12] 跟您提要求很过分
[03:12-03:13] 可是这台电脑
[03:13-03:15] 它真的很过分
[03:15-03:16] 你这电脑
[03:16-03:17] 可是这台电脑
[03:17-03:19] 它真的很卡
[03:20-03:22] 能有多卡啊
[03:22-03:23] 啥卡卡
[03:23-03:24] 你看
[03:24-03:25] 不是不是你这么想
[03:25-03:26] 你给我看一下
[03:26-03:27] 能有多卡
[03:27-03:28] 来你开机
[03:28-03:29] 我早都按开机了
[03:29-03:30] 你啥时候开的
[03:30-03:31] 去年圣诞节
[03:31-03:32] 那不就快了吗
[03:32-03:33] 你只是黑屏啊
[03:33-03:34] 杰克
[03:34-03:35] 拜托了
[03:36-03:37] 行吧
[03:37-03:38] 但我有个要求
[03:38-03:39] 您说
[03:39-03:41] 你把我来时候的监控删了
[03:41-03:42] 没问题
[03:42-03:43] 能做到吗
[03:43-03:44] 必须的
[03:44-03:45] 动作快
[03:46-03:47] 保安
[03:47-03:48] 可乐
[03:49-03:50] 经理
[03:50-03:51] 我跟你讲
[03:51-03:52] 你喊我上来也没有用
[03:52-03:53] 他手上有枪
[03:53-03:55] 你就让他走了吧
[03:56-03:57] 大哥已经要走了
[03:57-03:58] 但是走之前
[03:58-03:59] 希望你能把他
[03:59-04:01] 来时的监控删掉
[04:01-04:02] 经理
[04:02-04:03] 我不是在自己吹捧我自己
[04:03-04:04] 你快给我晃兔了
[04:04-04:05] 你就说事
[04:05-04:07] 他几乎是在践踏我的尊严
[04:07-04:08] 他拉倒了
[04:08-04:09] 你还有尊严
[04:09-04:10] 经理你想啊
[04:10-04:11] 要是来一个人
[04:11-04:12] 就让我删监控
[04:12-04:13] 来一个人就让我删监控
[04:13-04:14] 那我这个保安以后
[04:14-04:15] 还怎么干
[04:15-04:16] 那你就不用干了
[04:16-04:18] 他肯定还是要干的
[04:18-04:19] 他
[04:19-04:20] 不是
[04:20-04:21] 除非
[04:21-04:23] 你把我的电柜抢走
[04:23-04:24] 这什么毛病
[04:24-04:26] 怎么都让我抢电机呢都
[04:26-04:27] 展开讲讲
[04:27-04:28] 大哥
[04:28-04:30] 是这个样子的
[04:30-04:32] 我们公司给我配了一个
[04:32-04:34] 八手的电柜
[04:34-04:35] 这个电柜的八手
[04:35-04:37] 它漏电
[04:39-04:40] 我一想电
[04:40-04:41] 它就电我
[04:41-04:42] 我一想电
[04:42-04:43] 它就电我
[04:43-04:44] 它就电我
[04:44-04:45] 不信你试试
[04:45-04:46] 你看
[04:46-04:47] 连咱俩
[04:47-04:48] 连咱仨呀
[04:48-04:49] 把你也带进来了
[04:49-04:50] 我们就不要在这儿
[04:50-04:51] 跳拋拼了
[04:51-04:52] 是
[04:52-04:53] 监匪大哥的时间
[04:53-04:54] 非常有限
[04:54-04:55] 这样
[04:55-04:56] 你把电棍交给大哥
[04:56-04:57] 你去删监控
[04:57-04:58] 大哥
[04:58-04:59] 快点快点
[04:59-05:00] 你快点
[05:00-05:01] 我去了
[05:01-05:02] 快去快去
[05:02-05:03] 谁都别走
[05:05-05:07] 没想到啊
[05:07-05:09] 你们仨子家是一伙的
[05:09-05:10] 你快拉倒吧
[05:10-05:11] 我只是给你大哥
[05:11-05:12] 黑来电
[05:14-05:15] 我不管你们想干什么
[05:15-05:16] 今天这里的钱
[05:16-05:18] 谁也不许拿走
[05:21-05:23] 这位美丽的小姐
[05:23-05:25] 你难道不怕我吗
[05:27-05:29] 一个不劳而获的人
[05:29-05:31] 有什么值得惧怕的
[05:32-05:34] 我每天打卡造七万八
[05:34-05:35] 没有请过一天的假
[05:35-05:37] 生怕老板查我靠亲
[05:37-05:38] 扣我奖金
[05:38-05:39] 这么辛苦
[05:39-05:40] 我都没有抢一行
[05:40-05:42] 你凭什么
[05:42-05:43] 我 dip用卡
[05:43-05:46] 你指哪儿
[05:46-06:04] 你到 elevation
[06:06-06:07] 直播
[06:07-06:08] OK
[06:08-06:10] 现在 chill
[06:10-06:11] 电棍什么
[06:11-06:12] 不是吧
[06:12-06:15] 我是许愿池里的王八是吧
[06:17-06:18] 你多心了王哥
[06:18-06:19] 谁是你王哥啊
[06:19-06:20] 杰哥杰哥
[06:20-06:22] 我这包里还能放下了吗
[06:22-06:24] 肯定能放下肯定能放下
[06:24-06:25] 你不干什么了
[06:25-06:26] 我不是让你不放
[06:26-06:27] 哎
[06:27-06:28] 杰克先生杰克先生
[06:28-06:30] 您刚才说的我们都听见了
[06:30-06:32] 我们有很多东西想被你掠夺了
[06:32-06:34] 不是我哪有时间掠不够
[06:34-06:35] 我不行行行
[06:35-06:36] 哎
[06:36-06:37] hold on hold on hold on
[06:37-06:38] 你快组成一下
[06:38-06:39] 不用嘛
[06:39-06:41] 今天斐大哥的时间非常有限
[06:41-06:42] 这样
[06:42-06:44] 我们可着急了先来
[06:44-06:45] 我更着急
[06:45-06:46] 来来来你先来
[06:46-06:47] 不是
[06:47-06:48] 大哥呀
[06:48-06:49] 我这个方案赶了八十多遍
[06:49-06:50] 我实在不想赶了
[06:50-06:51] 你赶紧给他夺走吧
[06:51-06:52] 不是我包放不下了
[06:52-06:53] 说包你来没问题了
[06:53-06:54] 大哥
[06:54-06:55] 干啥
[06:55-06:56] 这是我儿子的暑假作业
[06:56-06:57] 他非得让我做
[06:57-06:58] 不是让他自己做呀
[06:58-06:59] 他不会呀
[06:59-07:00] 你让他吹雪
[07:00-07:01] 放包里啊放包里啊
[07:01-07:02] 杰哥
[07:02-07:05] 这是我母亲为我烹饪的爱心早餐
[07:05-07:07] 这玩意儿太难吃了我厌不厌
[07:07-07:08] 这玩意儿你就直接给咱们
[07:08-07:09] 让你吃了吧
[07:15-07:17] 我们趁着这个劫匪线上
[07:17-07:19] 在这边享受美食
[07:19-07:20] 大家好像需要掠夺
[07:20-07:21] 我们抓紧时间
[07:21-07:22] 有有有
[07:22-07:23] 快快快
[07:23-07:24] 非常好
[07:24-07:25] 快走开
[07:25-07:27] 给我们老板夺走吧
[07:27-07:28] 这他干嘛
[07:28-07:29] 快
[07:29-07:30] 你再一下
[07:30-07:31] 你再一下
[07:31-07:33] 你们都给我滚
[07:34-07:37] 我就说装不下装不下的呢
[07:40-07:42] 装不下你试试吧你试试
[07:42-07:43] 下回
[07:46-07:48] 你干啥呢
[07:48-07:49] 杰哥
[07:49-07:50] 东西都帮您装好了
[07:50-07:51] 你赶紧撤吧
[07:51-07:52] 我早就该撤了
[07:52-07:53] 这怎么回事
[07:53-07:54] 不好意思
[07:59-08:00] 我钱呢
[08:00-08:01] 不是
[08:01-08:02] 我钱
[08:02-08:03] 我得批评你两句
[08:03-08:05] 你这来抢劫包带太小钱
[08:05-08:06] 装不下
[08:06-08:08] 让我存回金库了
[08:08-08:10] 完等下回来的
[08:10-08:11] 联本代理我给你多装点
[08:12-08:13] 你挺热心的
[08:13-08:14] 不是
[08:14-08:15] 你是劫匪 我是劫匪
[08:15-08:16] 咱纠结这些干啥
[08:16-08:18] 一会儿警察要来了
[08:18-08:19] 警察来了我也不怕他
[08:19-08:20] 我一分钱没抢着
[08:20-08:21] 我整个局老破烂
[08:21-08:23] 我剧场十五天我就出来了
[08:28-08:29] 不是
[08:30-08:31] 不是
[08:31-08:32] 杰哥
[08:32-08:34] 你一点法律常识没有
[08:34-08:36] 你是带枪来的
[08:36-08:37] 我要知道今天这情况
[08:37-08:38] 我都多余带着破枪
[08:38-08:39] 我登个三轮过来
[08:39-08:40] 抽破烂就完了
[08:46-08:48] 这怎么能是破烂呢
[08:50-08:51] 这都是咱打工人
[08:51-08:53] 把最宝贵东东献给你了
[08:53-08:54] 明白吗
[08:54-08:55] 献给个屁
[08:55-08:56] 什么呀
[08:56-08:57] 你这人太物质
[08:57-08:58] 我物质
[08:58-08:59] 我物质
[08:59-09:00] 我绝对物质
[09:00-09:01] 我帮你拿点东西得了吧
[09:01-09:02] 哥们 你太物质
[09:02-09:03] 你太卑鄙了
[09:03-09:04] 我卑鄙
[09:04-09:05] 你太卑鄙了
[09:05-09:06] 我真是我
[09:06-09:07] 劫匪叔叔
[09:10-09:12] 你能帮我抢一个东西吗
[09:12-09:13] 正在戏头上
[09:13-09:14] 来来来
[09:15-09:16] 小孩
[09:17-09:19] 暑假作业你自己做
[09:21-09:22] 鬼辈
[09:23-09:24] 卑鄙的小学生
[09:24-09:25] 你能帮我抢走
[09:25-09:27] 我爸爸的病吗
[09:33-09:34] 不是
[09:35-09:36] 还有我们
[09:41-09:42] 不是
[09:42-09:43] 那个
[09:43-09:44] 孩子
